ConseillerID,Nom,Prenom,Email,Bureau,Equipe,AnneeExperience,Certification,NbClients,AuM_EUR
CONS001,Gautier,Yves,lucasguillon@example.net,Paris,Equipe B,13,Aucune,17,136634986.51
CONS002,Gilles,Vincent,smonnier@example.org,Bordeaux,Equipe B,6,AMF,27,101344181.08
CONS003,Philippe,Olivie,oriviere@example.com,Bordeaux,Equipe B,19,CFA,38,27558471.74
CONS004,Texier,Corinne,gimenezalphonse@example.org,Lyon,Equipe B,4,CFP,62,82472212.99
CONS005,Neveu,Michelle,weberhenri@example.net,Paris,Equipe A,20,CFA,64,65208036.14
CONS006,Julien,Sabine,jeanne48@example.net,Bordeaux,Equipe A,25,CGPI,62,22407799.89
CONS007,Allain,Pauline,glaurent@example.net,Paris,Equipe A,11,CFA,33,56774469.7
CONS008,David,Isabelle,julienmarie@example.com,Marseille,Equipe C,14,AMF,55,184218808.3
CONS009,Gaillard,Benjamin,chartiermarcelle@example.org,Lille,Equipe A,22,CFP,69,24406000.53
CONS010,Klein,Rémy,jtexier@example.net,Marseille,Equipe C,12,CGPI,42,94742228.86
